old,new,bucket
1024px_egon_schiele_self_portrait_with_striped_shirt_google_art_project_jpeg.jpeg,Self-Portrait with Striped Shirt by Egon Schiele (1910).jpeg,
12_rw_r_cc_ty_3598_original_jpg.jpg,"Illustration - Three Stacked Diamonds Formed By Repeating Words 'Signals', 'Signums', 'Signets'.jpg",
1626488837263_jpg.jpg,"Illustration - Jesus Carrying Cross With Crown of Thorns, Expressive Painting.jpg",
1652503832014_jpg.jpg,Biblis by William-Adolphe Bouguereau (1884).jpg,
1652504051543_jpg.jpg,Illustration - Red-Haired Woman with Bare Chest Holding a Skull.jpg,
1653251333640_jpg.jpg,"Illustration - Village Street Scene with Church Tower, Castle Ruin, and Figures.jpg",
1654363127993_jpg.jpg,Illustration - Impasto Painting of Ocean Wave Crashing on Rocks.jpg,
1654611326793_jpg.jpg,The Colosseum Seen from the Palatine Hill by Julius Zielke (c. 1870).jpg,
1663159599_bladee_interview_01_jpg.jpg,Photograph - Bladee Sits Among His Abstract Paintings In Pink Hoodie.jpg,
1682701886_bladee_interview_010_jpg_webp.webp,Photograph - Person Wearing a Printed Banner in an Art-Filled Room.webp,
1701797844500962_png.png,"Illustration - Two Figures Sitting By a River, One With Red Hat.png",
1706555441304487_png.png,"Illustration - Two Horses on Beach Under Umbrella, One Drinking; Signed SP.png",
1708974447776658_png.png,Illustration - Brown Horse Grazing in a Field.png,
1709535535444975_jpg.jpg,Illustration - Two Figures in a Cluttered Gothic Study by Bernie Wrightson.jpg,
1_b1pa0olh2hgzwf6fxqu_aa_png_jpeg.jpeg,Illustration - Colorful Intricate Mandelbrot Fractal Pattern.jpeg,
1_clpde_odlazc0uhln02vuq_jpg.jpg,Illustration - Stylized Landscape with Figures Carrying Objects by Bob Thompson.jpg,
1udt_png.png,Illustration - 3D Model of a Protein Structure with Bound Ligand.png,
2005_102_01_h02_artsy_jpeg_4000_pixels_long_jpg.jpg,Illustration - Woman in Sunglasses Holding Beer Bottle in Backyard by Robert Bechtle.jpg,
2019_06_30t173116z_1555039684_rc1d3097bea0_rtrmadp_3_northkorea_usa_southkorea_jpg_webp.webp,"Photograph - Donald Trump And Kim Jong Un At DMZ, Photographers Present.webp",
24k_valhallvagen_2023_jpg_webp.webp,Illustration - Colorful Abstract Painting with Central Fanged Face and Hearts.webp,
25035_sing_the_body_electric_by_hogret_jpg.jpg,Illustration - Collage of a Woman's Head with Anatomical Torso and Text Background.jpg,
2560px_proudhon_children_jpg.jpg,Pierre Joseph Proudhon and his children in 1853 by Gustave Courbet (1865).jpg,
3d_fractal_rendering_of_complex_swirling_forms_in_warm_colors.png,Illustration - Complex 3D Fractal Rendering of Swirling Forms in Warm Colors.png,
